skill	content
two-way-relative-frequency-tables	the two-way frequency table below shows data on behavior of students and the use of candy to provide a positive incentive for behavior for a group of students at lion's lane elementary school. which of the following are valid conclusions? choose all answers that apply: a more of the students in the study received candy than did not receive candy. b more than half of the students in the study who received candy exhibited undesirable behavior. c none of the above desirable behavior undesirable behavior received candy 19 9 did not receive candy 8 6
two-way-relative-frequency-tables	the two-way frequency table below shows data on years working with the company and college degree status for tom's coworkers. complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) at company less than years at company or more years college degree 5 14 no college degree 16 7 at company less than 2 years at company 2 2 2 or more years row total college degree no college degree 1.00 1.00
two-way-relative-frequency-tables	kamden is a mind-reading alien. he had each friend draw and look at a card, then he guessed whether the card had a star on it. the two-way frequency table below shows data on guess and true status of the cards the friends drew. complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) kamden guessed a star kamden guessed not a star card had a star 4 2 card didn't have a star 1 752 kamden guessed a star kamden guessed not a star row total card had a star card didn't have a star 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on whether medicine was taken and cold length for participants in a study conducted by the cold be gone company. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) medicine taken medicine not taken cold length days or longer 6 27 cold length less than days 19 12 medicine taken medicine not taken cold length 7 days or longer cold length less than 7 7 7 days column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on type of vehicle driven and whether there was a speeding ticket in the last year for customers of all american auto insurance. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) sport utility vehicle (suv) sports car speeding ticket within the last year 28 35 no speeding ticket within the last year 97 104 sport utility vehicle (suv) sports car speeding ticket within the last year no speeding ticket within the last year column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on playing a sport and playing a musical instrument for students in a class. complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) plays sports does not play sports plays a musical instrument 6 7 does not play a musical instrument 8 3 plays a sport does not play a sport row total plays a musical instrument does not play a musical instrument 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on behavior of students and the use of positive phone calls home as an incentive for behavior for a group of students at lion's lane elementary school. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) desirable behavior undesirable behavior phone call 19 9 no phone call 8 6 desirable behavior undesirable behavior phone call no phone call column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on depression in a patient's family history and depression for dr. ward's patients. which of the following are valid conclusions? choose all answers that apply: a more patients in the study had depression than did not have depression. b of the patients in the study both had depression and had depression in their family history. c none of the above depression in family history depression not in family history patient had depression 16 16 19 patient did not have depression 28 112
two-way-relative-frequency-tables	the two-way frequency table below shows data on mindset and attendance at practice for students in mateus's study. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) growth mindset fixed mindset attended every practice 28 12 missed at least practice 9 58 growth mindset fixed mindset attended every practice missed at least 1 1 practice column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on income and college degree status for tom's coworkers. which of the following are valid conclusions? choose all answers that apply: a more of tom's coworkers have a college degree than do not have a college degree. b of tom's coworkers who have a college degree, of them have an income below 30 , 000 . c none of the above income below $30 , 000 income at or above $30 , 000 college degree 5 5 14 no college degree 16 7
two-way-relative-frequency-tables	the two-way frequency table below shows data on student behavior and the use of positive phone calls home as an incentive for good behavior for a group of students at lion's lane elementary school. complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) desirable behavior undesirable behavior phone call 19 9 no phone call 8 6 desirable behavior undesirable behavior row total phone call no phone call 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on quidditch goals blocked when a goaltender was using a luck potion or a placebo. complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) placebo luck potion blocked the goal 30 23 did not block the goal 8 5 placebo luck potion row total blocked the goal did not block the goal 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on type of vehicle driven and whether there was a speeding ticket in the last year for customers of all american auto insurance. complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) sport utility vehicle (suv) sports car speeding ticket within the last year 28 35 no speeding ticket within the last year 97 104 sport utility vehicle (suv) sports car row total speeding ticket within the last year no speeding ticket within the last year 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on playing a sport and playing a musical instrument for students in a class. which of the following are valid conclusions? choose all answers that apply: a of the students in the class who do not play a sport, more than half of them play a musical instrument. b more students in the class play a musical instrument than play a sport. c none of the above plays a sport does not play a sport plays a musical instrument 6 5 does not play a musical instrument 16 3
two-way-relative-frequency-tables	jonas knows the following information about the 19 members in his travel group: 5 members have been to both the united states and australia. 11 members in total have been to the united states. 12 members in total have been to australia. can you help jonas organize the results into a two-way frequency table? have been to the united states have not been to the united states have been to australia have not been to australia
two-way-relative-frequency-tables	the two-way frequency table below shows data on twins in a patient's family history and pregnancies with twins for pregnancies dr. ward has attended. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) twins in family history twins not in family history twins born 8 26 single child born 125 841 twins in family history twins not in family history twins born single child born column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on a student's performance on a math test and that student's gender for students in ms. matchenbacker's class. which of the following are valid conclusions? choose all answers that apply: a of the students in ms. matchenbacker's class who passed, 75 % are female. b of the students in ms. matchenbacker's class who failed, 75 % are female. c none of the above pass fail female 42 15 male 14 5
two-way-relative-frequency-tables	the two-way frequency table below shows data on type of vehicle driven and whether there was an accident in the last year for customers of all american auto insurance. which of the following are valid conclusions? choose all answers that apply: a considering these customers, more sport utility vehicles than sports cars were in an accident within the last year. b considering these customers, more than 30 % of the sports cars were in an accident within the last year. c none of the above sport utility vehicle (suv) sports car accident within the last year 28 35 no accident within the last year 97 104
two-way-relative-frequency-tables	the two-way frequency table below shows data on treatment and heart attack outcome for participants in a longitudinal study conducted by dr. randy. which of the following are valid conclusions? choose all answers that apply: a more participants were given a placebo than were given aspirin. b out of the 433 participants that were given a placebo had a heart attack. c none of the above placebo aspirin had heart attack 12 12 7 did not have heart attack 421 442
two-way-relative-frequency-tables	kamden is a mind-reading alien. he had each friend draw and look at a card, then he guessed whether the card had a star on it. the two-way frequency table below shows data on guess and true status of the cards the friends drew. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) kamden guessed a star kamden guessed not a star card had a star 4 2 card didn't have a star 1 752 kamden guessed a star kamden guessed not a star card had a star card didn't have a star column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on whether karissa had an ice cream cone and whether the day was during the week or on the weekend. which of the following are valid conclusions? choose all answers that apply: a karissa gathered data on having an ice cream cone for a total of 206 days. b karissa had an ice cream cone on more than 90 % of the weekend days for which she collected data. c none of the above weekday weekend had an ice cream cone 23 45 did not have an ice cream cone 155 6
two-way-relative-frequency-tables	the two-way frequency table below shows data on playing a sport and playing a musical instrument for students in a class. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) plays sports does not play sports plays a musical instrument 6 7 does not play a musical instrument 8 3 plays a sport does not play a sport plays a musical instrument does not play a musical instrument column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on a student's performance on a math test and that student's gender for students in ms. matchenbacker's class. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) pass fail female 42 15 male 14 5 pass fail female male column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on mindset and attendance at practice for students in mateus's study. complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) growth mindset fixed mindset attended every practice 28 12 missed at least practice 9 58 growth mindset fixed mindset row total attended every practice missed at least 1 1 practice 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on twins in a patient's family history and pregnancies with twins for pregnancies dr. ward has attended. complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) twins in family history twins not in family history twins born 8 26 single child born 125 841 twins in family history twins not in family history row total twins born single child born 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on years working with the company and college degree status for tom's coworkers. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) at company less than years at company or more years college degree 5 14 no college degree 16 7 at company less than 2 years at company 2 2 2 or more years college degree no college degree column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on whether medicine was taken and cold length for participants in a study conducted by the cold be gone company. which of the following are valid conclusions? choose all answers that apply: a of the participants who took the medicine, of them had their cold for days or longer. b a total of 25 participants in the study took the medicine. c none of the above medicine taken medicine not taken cold length days or longer 6 27 27 cold length less than 7 7 7 days 19 12
two-way-relative-frequency-tables	the two-way frequency table below shows data on quidditch goals blocked when a goaltender was using a luck potion or a placebo. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) placebo luck potion blocked the goal 30 23 did not block the goal 8 5 placebo luck potion blocked the goal did not block the goal column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on a student's performance on a math test and that student's gender for students in ms. matchenbacker's class. complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) pass fail female 42 15 male 14 5 complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) pass fail row total female male 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on mindset and high school gpa for students in mateus's study. which of the following are valid conclusions? choose all answers that apply: a there were more students with a fixed mindset than with a growth mindset in mateus's study. b of the students in mateus's study who had a fixed mindset, only of them had a gpa above . c none of the above growth mindset fixed mindset gpa above 3.0 28 12 12 gpa at or below 3.0 3.0 9 58
two-way-relative-frequency-tables	the two-way frequency table below shows data on whether karissa had an ice cream cone and whether the day was during the week or on the weekend. complete the following two-way table of column relative frequencies. (if necessary, round your answers to the nearest hundredth.) weekday weekend had an ice cream cone 23 45 did not have an ice cream cone 155 6 weekday weekend had an ice cream cone did not have an ice cream cone column total 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on whether medicine was taken and cold length for participants in a study conducted by the cold be gone company. complete the following two-way table of row relative frequencies. (if necessary, round your answers to the nearest hundredth.) medicine taken medicine not taken cold length days or longer 6 27 cold length less than days 19 12 medicine taken medicine not taken row total cold length 7 days or longer cold length less than 7 7 7 days 1.00 1.00
two-way-relative-frequency-tables	the two-way frequency table below shows data on test result and true status of hiv for patients served at larry lane hospital. which of the following are valid conclusions? choose all answers that apply: a 80 % of the time when the test result was positive, the patient actually was hiv positive. b out of the patients that were hiv positive had a negative test result. c none of the above test result positive test result negative (-) hiv positive (+) (+) 4 4 2 2 hiv negative (-) 1 752
constructing-scatter-plots	jin has 20 dogs! she measured the width and length of each of her dogs for a biology project. suppose she wants to create a scatter plot to investigate if the dogs' length is a function of their width. complete the sentences below. the dogs' width should go on the axis. the most reasonable range for that axis would be from to . name width ( cm ) length ( cm ) name width ( cm ) length ( cm ) trump 19.3 49.3 harpo 37.6 97 wrigley 24.2 68.1 wiggles 42.7 82 piggles 17.4 63.5 mugsy 36.4 77.1 fudge 24.7 53.7 nibbles 23.5 67.9 buck 39.1 71.7 freebie 31.6 80.6 gigi 46.3 100.3 brain 28.2 55.5 bellboy 23.3 67.3 spuds 12.7 39.2 pal 15.6 22.7 taos 32.1 65 alastair 29.1 54.3 bentley 37.9 93.9 furface 25.7 60 fido 28.6 55.1
constructing-scatter-plots	arthur wanted to investigate how the amount of exercise he does affects his weight. each week he recorded the number of hours he exercised during the past week and the change in his weight during that week (positive number means he gained weight, negative means he lost weight). suppose arthur wants to create a scatter plot according to the data, presented below. complete the sentences below. the amount of exercise should go on the axis. the most reasonable range for that axis would be from to . exercise ( hours ) weight change ( lb ) 0.6 3.3 0.8 0.3 1.2 8.9 -1.7 8.4 -1.9 1.3 6.5 -0.3 5.8 0 7.7 -0.2 8 -1.3 3.1 3.1 1.1 4.9 0.4 5.1 -0.2 2.7 0.7 1.9 1.9 0.5
constructing-scatter-plots	an engineer studying fuel usage collected data on the speed a car traveled (in kilometers per hour) and how much fuel it used (in liters per kilometers). plot the data in a scatter plot. (km/h) ( liters per 100 , km ) 21 7 9 10 10 20 30 30 40 50 50 60 70 70 80 90 90 100 100 110 110 2 4 6 6 8 8 10 10 12 14 16 18 20 fuel used fuel used speed speed click to add points
constructing-scatter-plots	the table below shows the relationship between quiz scores and study time (in hours) for each student in lucas's class. plot the data in a scatter plot. study time (hours) 1.75 3.25 17 15 7 19 0.5 0.5 1 1.5 1.5 2 2.5 3 3 3.5 2 2 4 6 8 10 12 14 16 16 18 20 20 score score hours click to add points
constructing-scatter-plots	a doctor studying nutrition collected data on the weights (in kilograms) of infants in north africa. the table below shows the mean weights for infants of different ages in the study. plot the data in a scatter plot. (months) (kg) 4.25 5.0 5.75 6.25 6.75 7.0 1 2 3 4 5 6 1 1 2 2 3 3 4 4 5 5 6 6 7 weight weight age age click to add points
constructing-scatter-plots	darcy's father has been measuring her height each birthday since she was born. the relationship between darcy's age and her height is shown below. darcy wants to make a scatter plot showing how her height has changed over time. complete the sentences below. darcy's age should go on the axis. the most reasonable range for that axis would be from to . age (years) 0 1 2 3 4 5 6 height (inches) 17 28 30 33 37 40 41 age (years) 7 8 9 10 11 12 height (inches) 43 45 47 51 52 60
constructing-scatter-plots	jose recorded the number of sick days he took and the number of he owned over several years. plot the data in a scatter plot. 7.5 0.5 9.5 t-shirts 7 6 1 2 3 4 5 6 6 7 7 8 9 10 1 2 3 3 4 4 5 5 6 6 7 7 8 9 10 t-shirts t-shirts sick days sick days click to add points
constructing-scatter-plots	a professional soccer player can score a goal using his right or left foot. the table below shows how many goals the top scoring players in europe scored with each foot in the 2014 , - ,2015 season (according to www.whoscored.com). plot the data in a scatter plot. goals from... ronaldo messi lacazette agüero griezmann foot 29 foot 1 1 7 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 2 4 6 6 8 10 12 12 14 16 16 18 18 20 22 24 24 26 26 28 30 left left right right click to add points
