skill,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Add/Subtract,-0.35224873,0.08845621,0.014718362,0.033577263,-0.06301209,0.1064188,-0.07150066,0.03560591,-0.04555302,-0.054485943,-0.16007733,0.12083669,0.13729544,0.07225882,-0.12159895,0.16241235,-0.25778878,0.0093973605,-0.15911198,-0.06743745,0.09123421,0.09348068,-0.4726789,-0.18438385,0.10767378,0.22724028,-0.025681844,-0.045904852,-0.02087995,-0.009055545,-0.13622972,0.28166273,-0.033920564,0.14145479,-0.05557695,-0.12673694,0.057483185,0.006115993,0.0032701665,-0.05257294,-0.0118721025,-0.18376786,-0.08469917,-0.11738554,0.2966836,-0.07715188,-0.007863005,-0.014576551,-0.021583324,-0.057124652
Apply Exponent,-0.10527992,-0.026624756,-0.098247826,0.2750227,0.040254682,-0.15827921,0.029832978,-0.11378702,-0.18373035,0.07272279,0.11385145,-0.14380549,0.0010821596,-0.23613873,0.08972962,-0.20819238,-0.08541396,0.13503344,-0.065124035,-0.039575912,0.044273093,0.02306687,-0.32051522,0.10217922,-0.0651017,-0.052908987,-0.07387147,0.5107083,-0.0891941,0.05152833,0.09478432,0.020195592,-0.17751051,0.093488894,-0.12364287,0.0950358,0.053390406,0.13218725,-0.095219925,-0.17850664,0.21163054,0.095735185,-0.05711168,0.097454086,-0.02777979,0.0353683,-0.06073818,0.068813294,0.18614307,0.06788375
Apply Exponent - whole,0.014476228,-0.018699713,0.013606337,0.08570621,-0.12193183,-0.078779966,-0.014030782,-0.20675534,-0.056064434,-0.08346271,0.17663431,-0.07673587,0.015122519,-0.11971422,-0.018388717,-0.34836656,-0.12613884,-0.033976257,0.045864843,-0.07881999,0.15983354,-0.014044713,-0.20733991,0.08614018,-0.10885286,-0.086420454,-0.2270738,0.233888,0.25090772,0.0411621,0.20235659,0.03464965,-0.12912357,0.2130919,-0.13517387,0.29913476,0.13010868,0.16461062,0.22609288,-0.11808371,0.0707084,0.21820663,-0.18674715,0.0507395,0.052279387,-0.13024716,-0.0016772461,0.065708935,-0.043801446,0.12489753
Bogus skill,-0.24257863,0.097261384,0.08079651,-0.06427839,0.29240885,-0.09772446,-0.03338833,0.12790781,-0.23140019,0.047216196,-0.012878784,0.06995917,-0.019723216,0.20735973,0.027694026,0.3075275,0.023192432,-0.07607338,0.20034964,0.30518937,-0.2803614,0.121825285,-0.26129225,0.28894508,-0.018685663,-0.0039706994,0.1418604,0.06470064,-0.008817816,-0.10995618,0.12727581,-0.069113955,0.047215983,0.023026505,-0.17123532,-0.060833383,0.06515041,-0.059626687,0.039396882,-0.04577289,0.19039066,0.032238234,0.018588845,0.20667878,-0.07569095,-0.023700468,-0.0035698512,0.043375906,-0.1597531,-0.07091292
Calculate Eliminate Parens,-0.24413618,-0.089855246,-0.1287188,-0.057813518,-0.019989444,-0.008261967,0.06377278,0.15934885,0.17841509,0.14980213,-0.1285883,-0.18273735,0.22824898,-0.12601635,0.049550574,-0.0414716,0.19335802,0.073419414,0.07755983,0.116199315,-0.2206976,-0.0748578,-0.2822131,-0.27952433,-0.15112089,-0.08195174,-0.18117312,0.07084434,-0.12776038,0.081338786,-0.054656725,0.031903688,0.18618715,0.21865703,-0.035481818,-0.056744795,0.07880355,0.045116458,0.1157787,0.0037326228,0.16477537,0.00405314,0.26637065,0.23883952,0.048875816,0.0063216705,0.12679598,-0.13358715,0.114581265,-0.15537816
Calculate negative coefficient,-0.0965762,0.051347848,0.03337752,-0.14065017,0.2655237,0.19140421,0.08520052,0.08943599,-0.10983156,-0.26972458,-0.36298826,-0.0064697457,0.2135585,0.13722093,0.07909433,0.24269456,-0.11579234,0.033613652,-0.044605833,-0.086333975,-0.09632852,0.020560553,-0.13139468,-0.13641603,-0.036578044,-0.16668655,-0.15415674,-0.033901185,0.013136738,-0.025059113,0.011192734,0.08669088,-0.35500634,-0.13661203,0.08713163,0.02622454,-0.09883195,-0.07234908,0.07579204,0.009577914,-0.07613443,-0.08873873,0.1404293,0.2242942,0.0924342,-0.16358776,0.15762782,0.03937305,0.19211164,-0.101889685
Calculate part in proportion with fractions,-0.075821094,-0.25715134,-0.10023315,0.24086873,0.051017016,-0.009991061,-0.2446817,-0.07272113,0.044249576,-0.24839146,-0.22652681,0.05335423,-0.09981234,0.100436606,-0.079014145,0.06304128,0.059297606,0.21299219,0.17512542,0.13667205,0.1516427,0.063896425,-0.02529841,-0.071116626,0.040595025,-0.16280095,0.0043707984,0.2058145,-0.31243163,-0.070592314,-0.10614664,0.0790884,-0.097356446,0.14317691,0.091661125,0.078294404,0.001442119,-0.17640233,0.07264501,-0.12938035,0.047123875,0.1503577,0.015370654,-0.14132665,-0.03053406,-0.037236214,0.11635161,0.10602287,0.17758983,0.3480519
Calculate product of means or extremes,-0.15653041,-0.19631329,-0.2068493,0.14038731,0.110687174,-0.26051855,-0.09940602,0.16246353,-0.002641935,-0.19589493,0.099409066,0.011550558,-0.19845396,-0.074994415,-0.19699062,0.24073794,0.07876176,0.074704394,-0.036001544,0.15974055,-0.014633593,-0.004618681,0.11583433,-0.04416343,-0.08065326,-0.1609586,-0.25408763,-0.13226078,-0.21411893,-0.038748275,-0.012599262,0.07464839,0.0050102184,-0.047370262,-0.0018527039,0.048962846,-0.15609692,0.15198913,-0.013432173,-0.27277485,-0.069580935,-0.31947663,-0.09026545,-0.26301974,-0.07543634,0.011419884,-0.03905445,-0.08876175,0.12651213,-0.062983274
Calculate ratio denominator from given,-0.030988092,-0.04202914,0.23400453,-0.15518604,-0.05035675,0.04060431,0.059156355,0.00083983375,-0.26087222,-0.07830233,0.12549889,0.0014840857,-0.015197255,-0.26148644,0.0026946086,0.08150158,0.14140272,0.17615932,-0.27049497,0.04151289,-0.04233913,-0.23198217,0.04825473,-0.07173421,0.16771942,-0.17839174,0.22795233,-0.024013337,-0.09157816,0.18012853,-0.14188705,0.25278482,-0.09447132,-0.23641616,-0.108245626,-0.08600492,0.069378205,-0.032232273,-0.038144067,0.17742537,0.16036849,-0.08754911,0.07419586,-0.07707143,0.24296074,0.0882779,-0.120992854,0.16718401,0.16613115,0.12098773
Calculate ratio numerator from given,-0.16336256,0.026521077,0.15212019,0.17242524,0.11715811,-0.09080807,-0.21128966,-0.1452537,0.050815273,0.027655104,-0.023180509,-0.18355481,-0.18457495,-0.03926073,0.043687098,0.14127715,0.0304777,-0.05882642,0.06186365,-0.11335589,0.1611546,0.25223935,-0.03687066,0.074806325,-0.064766005,0.01722108,0.19054644,-0.06585255,-0.08703817,-0.2957997,-0.12089059,0.02473812,0.0065448494,0.15134072,-0.09726734,0.098583974,0.021242086,-0.11099791,0.08905252,0.120133206,0.12913634,0.3125643,-0.07663362,-0.23074374,-0.23611094,-0.002171962,0.040314212,0.06614357,0.3590505,0.1499959
Calculate total in proportion with fractions,-0.04667803,-0.14355397,-0.09951757,0.11599699,-0.05943065,-0.07562773,-0.26064402,-0.06870331,0.114457026,-0.21520838,-0.12365726,0.0074274302,0.012517439,-0.08527557,-0.09777285,0.15122065,0.10707013,0.28870082,0.16308501,0.17906962,0.11973713,0.13161866,-0.09693111,-0.18294923,0.22735842,-0.12511002,0.048995305,0.13433743,-0.29794088,-0.08353793,-0.123706676,0.0074267103,-0.11204627,0.1577484,0.08379239,0.12010187,-0.027700083,-0.09505989,-0.032210253,-0.100142956,0.068936475,0.10852385,0.08365584,-0.15254611,0.1152067,0.09758044,-0.04131953,0.07885342,0.22045372,0.3529298
Calculate unit rate,-0.16689613,-0.014535418,0.097049214,-0.27610677,0.11542969,0.16525699,0.13326764,-0.23533244,0.03853609,0.0053563095,-0.078968786,-0.06971434,-0.28845647,0.291196,0.059143018,-0.13042194,-0.25320235,0.2825213,0.2481563,0.008484913,0.05164063,-0.114200816,-0.23996878,0.0059539424,0.23597932,-0.14682706,0.19991413,-0.00057179265,-0.08074704,-0.0267112,0.03750649,-0.094119705,-0.08011385,-0.107721776,0.009870056,-0.034367267,0.094333164,0.035393097,0.006540198,-0.021426357,0.023859724,-0.06695498,-0.2318253,-0.10783366,-0.104367614,0.010720893,-0.15416682,0.0122135095,0.13406627,-0.06699746
Changing axis bounds,-0.2120432,-0.08241715,-0.023531167,0.027394941,-0.19380413,-0.14631371,0.1446866,-0.029548982,-0.0033972182,0.11500947,0.0609243,0.1316656,0.09348857,0.22137783,0.14703554,-0.20799284,0.0294988,-0.047663722,-0.071651906,0.10228874,0.36138707,0.07343019,0.30229473,0.2183751,-0.10764539,-0.049262416,-0.19402115,-0.03282802,0.09387433,0.12262563,-0.12933885,0.23659424,-0.10416796,0.12580483,0.0444531,0.0024341797,-0.16235638,-0.11215965,-0.2786414,-0.09652669,0.07047908,0.056102958,0.0705049,0.054450374,-0.057778925,-0.20882277,0.19195291,-0.10151621,0.022942917,-0.030446513
Changing axis intervals,-0.060140647,-0.022856459,-0.17251854,0.037698966,-0.13295114,-0.05590514,0.1290259,0.027457587,-0.04756066,0.06760127,0.060451176,0.0028009661,0.022674453,0.30715168,-0.01251944,-0.1452465,-0.0038066197,-0.04768306,-0.07392277,-0.05641182,0.37193555,0.07521369,0.18977356,0.16261014,-0.08552632,-0.1208557,-0.024724213,0.05640052,0.11299148,0.039315984,0.090189844,0.067035794,-0.07005994,0.05799013,-0.044927068,-0.024419129,-0.36970386,-0.0074950038,-0.40228608,-0.03958556,0.043599203,0.0015216575,0.10595664,-0.04468568,-0.16946937,-0.29457724,0.17745674,-0.10643777,-0.036495782,-0.2098416
Choose Graphical a in A problem,-0.077607535,-0.0904694,0.014051724,-0.08929622,0.01573123,-0.0033201338,-0.016784454,-0.15346585,0.05265576,-0.054521758,-0.28922272,-0.026751542,-0.05098325,-0.076489024,0.029660119,0.23223159,-0.075385965,-0.064733595,-0.09034116,-0.13127853,-0.005036071,-0.009120046,-0.12353367,-0.2178147,0.13115084,0.29995263,0.0057787765,0.035086673,0.056341313,0.00021921367,-0.14008869,0.1730202,-0.09701479,-0.1706721,0.1441802,-0.1550527,-0.24513601,-0.012474329,-0.038480427,-0.35186464,0.031300947,-0.083014645,0.044746745,-0.21740761,-0.07199477,-0.2622043,0.2297459,0.23308334,0.18254879,0.022096802
Choose Graphical a in G problem,-0.073123805,-0.092440605,0.0034927053,-0.06233474,0.027339052,-0.013455816,-0.016417721,-0.11440123,0.022483973,-0.0188311,-0.29568854,-0.016242335,-0.02842221,-0.078963086,0.055572324,0.19143589,-0.0632605,-0.07011574,-0.1366001,-0.12100648,0.020348256,-0.012290879,-0.1059035,-0.22339742,0.14184055,0.3168086,-0.007771694,0.030320201,0.07151774,0.010025288,-0.11875423,0.17898247,-0.09403379,-0.15588857,0.15045965,-0.11314461,-0.25696456,-0.004144896,-0.058547787,-0.3613839,0.051746093,-0.06543029,0.03565461,-0.22412689,-0.060861435,-0.2777938,0.2338568,0.23650177,0.18907186,0.038719974
Choose Graphical a in N problem,-0.10599679,-0.052049093,0.004428133,-0.09587012,-0.08647226,-0.03429303,0.056015607,-0.21252598,0.036595426,-0.078202926,-0.25326103,-0.022112638,-0.067052834,-0.05248332,0.016136466,0.22089472,-0.1826692,-0.02576566,-0.06143967,-0.10529935,0.009534342,0.015621519,0.022675117,-0.14947246,0.097044975,0.28260827,-0.04280784,0.02999044,0.15370382,0.017683843,-0.16268493,0.14477521,-0.0760322,-0.17425992,0.07532541,-0.221001,-0.27275717,0.003425215,-0.014821066,-0.35572448,0.021033514,-0.104266025,0.039408933,-0.23550977,-0.11833015,-0.19423108,0.20430416,0.2690661,0.16902335,-0.03786194
