skill,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Add/Subtract,0.19786775,-0.10385892,-0.113384284,-0.09780065,0.18957561,0.20201147,-0.030940948,-0.029552922,0.08043932,-0.091470666,-0.16581567,0.016418464,-0.014093029,-0.06326403,-0.12819576,0.043381557,0.16510262,0.077477336,0.13236937,0.0021519568,0.14201955,0.21759994,-0.31244487,-0.16292605,-0.10180532,0.11315881,0.0036233468,0.15847099,0.15246475,-0.049129218,-0.13435178,-0.21933971,-0.026199158,-0.109674945,-0.0428762,0.15039782,0.024669314,-0.04319909,0.06667006,0.36001652,0.25070384,-0.26746842,-0.16735624,0.022997946,0.06982571,0.11462676,0.19524993,0.05060085,-0.06827407,0.03690977
Apply Exponent,0.07551258,0.1708711,0.033415034,0.21978784,0.020232271,0.015071471,-0.03880324,-0.17973569,-0.14857703,0.3095942,0.030062614,0.08959995,0.259925,0.028245065,-0.09220714,-0.003716601,-0.017195439,0.073843576,0.0864974,0.053493664,0.08530946,-0.09520971,0.1000826,0.069547065,-0.13221654,-0.2194254,0.46019334,0.18025501,0.1563264,-0.18577488,0.21819918,0.07406237,0.0971945,-0.08538372,0.13329892,0.18536127,0.038581315,0.18217316,0.0015246281,-0.08953888,-0.039381687,-0.09732991,-0.13294002,0.21151245,-0.1143888,-0.036153957,0.06519133,-0.031891506,-0.03729743,-0.047151785
Apply Exponent - whole,0.23719005,0.07152417,0.020366292,-0.056547564,0.10328623,-0.14810957,0.023701178,-0.05181615,-0.2661949,0.14636931,-0.016386982,-0.0321105,0.3667518,-0.038529173,-0.22105809,-0.08246521,-0.22112441,0.11866931,0.12627664,0.02119949,-0.019757908,-0.022587607,0.055692505,-0.019338723,-0.09818024,-0.10884573,0.3513731,0.198725,0.1605998,-0.2686844,0.029730316,-0.09470003,0.015985124,0.09079662,-0.09850336,0.21235842,-0.010981332,0.09722893,-0.019383458,-0.061881028,-0.2272856,-0.23419343,0.03483671,0.06372291,-0.051962588,0.03077376,-0.15966126,-0.073672116,-0.044107214,-0.11190983
Bogus skill,0.037096255,0.053066373,0.23673406,0.070817195,-0.015543167,-0.009970895,-0.0023189986,-0.071042046,-0.07645299,0.19201267,-0.09757503,0.028134612,0.19146797,-0.009650739,0.016260117,-0.21812421,0.010430237,-0.064584576,0.061164178,0.14587754,-0.23938856,-0.2124638,-0.17976621,-0.046643466,-0.19158295,-0.08997096,0.20111392,0.1788634,0.019980004,0.114787675,0.14405501,-0.35315427,-0.11469897,0.04431592,0.08716029,-0.0786089,0.098700024,0.0554262,-0.31996632,-0.13812536,0.1282388,0.015727611,0.037434988,0.12411424,0.2604318,-0.06447441,-0.020689895,0.25507626,-0.021428235,-0.12088378
Calculate Eliminate Parens,0.10576658,0.21245635,-0.07528849,0.048130766,0.045959093,-0.05500099,-0.04592737,-0.06622888,0.08189368,-0.08005952,-0.06844115,-0.060383722,0.08865821,-0.1792341,-0.025931118,0.24077287,0.16644241,-0.16425276,-0.051539015,-0.07209771,-0.20584925,0.07697342,-0.24263337,0.23125282,-0.13175768,-0.059483934,0.06827915,0.078315824,-0.008456923,0.3427715,-0.056654852,0.18367493,-0.057483014,-0.19696638,0.13560988,0.15570973,-0.0733865,-0.0011977395,-0.20590049,-0.12471016,-0.21230015,0.025931949,-0.07753367,0.22313678,0.036635045,-0.016468862,0.2158082,0.0905506,0.030306326,0.2960986
Calculate negative coefficient,0.10853981,-0.06896775,-0.0985787,-0.21064433,-0.20003793,-0.01711922,0.12927614,0.062744476,0.13026029,-0.10546382,-0.103728384,0.049573626,0.20928368,-0.11733482,-0.09275084,0.010115864,0.2660103,0.04492304,0.15545507,0.0046926355,-0.124398306,0.12802303,-0.20350562,0.17418024,-0.32809943,0.19916765,0.0767006,0.07690877,0.06047695,0.14850673,-0.14079446,-0.22671711,0.019915482,-0.13832776,0.18723065,0.17244363,0.1331684,0.17826538,-0.13206562,0.014106608,0.019846093,0.18808523,-0.14000797,0.098769076,-0.026615188,0.15198305,0.10317391,0.19456598,-0.12236731,0.017749576
Calculate part in proportion with fractions,-0.09230971,0.03778,-0.1549688,0.04580328,-0.027216766,-0.18851776,0.16697156,-0.06462532,0.17286427,-0.1228163,-0.113537505,-0.28152502,-0.068567485,-0.05758704,-0.018067317,0.104941025,-0.07358056,-0.05619112,0.28559482,0.16755731,0.05782077,0.039406333,-0.07208426,-0.028556447,0.16752763,0.08922883,0.19834182,0.032873023,-0.18244565,-0.14802884,-0.07142521,0.2006202,0.157737,0.075591296,-0.028666051,0.22231819,-0.10715547,0.0136488825,0.17376186,0.069412805,-0.10121717,-0.34312102,-0.16550459,-0.021193618,-0.030079346,0.20669799,-0.13537665,-0.25692594,-0.14693944,0.010938886
Calculate product of means or extremes,-0.2663336,0.03990224,-0.14317086,0.057439163,-0.07389511,0.017768193,0.1076873,-0.12967318,0.2427902,0.12631242,-0.031433538,-0.02229435,-0.1563514,0.13938294,0.25542167,0.28078493,-0.13009305,-0.16108796,0.2207078,-0.071656175,0.15991879,0.054419618,-0.0551928,-0.026720015,0.3357589,-0.018129734,0.08632115,0.05601839,-0.07825462,-0.06337382,0.022846572,0.09245175,0.16589592,0.04483826,-0.01180382,0.06324812,-0.042239983,-0.078815505,0.18671562,0.13817398,0.21284509,-0.22093727,-0.027586218,0.04635769,0.07401883,-0.06988929,-0.04894897,-0.18506595,-0.30535978,0.019208498
Calculate ratio denominator from given,0.105508074,0.032914642,-0.13481873,-0.053317763,0.11767032,-0.035077672,0.28793624,-0.012741054,0.23069783,-0.2133859,-0.17016166,0.07478298,-0.034470487,-0.14911924,0.0051780897,0.04933448,0.119810686,-0.1350011,0.072442725,0.07718484,-0.16410019,0.04420177,-0.15715173,-0.20415434,-0.07167488,0.16120142,-0.186189,-0.048088662,0.14565001,0.0151494555,-0.035240717,0.04437442,-0.15129544,-0.047313683,-0.13139316,0.08776492,0.0021091895,-0.12318568,-0.11093225,0.12805186,-0.0955986,-0.07147994,-0.017704967,0.1505966,0.23312347,0.14705412,0.45967564,0.12294109,0.2034062,-0.051479902
Calculate ratio numerator from given,0.11876532,-0.05336805,-0.12837192,-0.019632418,0.057190664,-0.006265916,0.2693555,0.0951781,0.053024493,-0.06834041,0.07107282,-0.2657723,0.17497191,0.11423834,-0.017009828,-0.06907429,0.011809113,0.020659503,0.07063375,0.183719,0.020753857,-0.0044438536,0.15012601,-0.2739682,-0.026284076,0.16855009,0.08704763,-0.042535234,0.15201424,-0.2285255,-0.035045307,-0.33627227,0.16628808,0.21954076,-0.0034618783,-0.103239365,0.072793506,0.08064956,0.03971484,-0.0065060924,-0.0039212606,-0.13859163,-0.096699625,-0.009081032,-0.026422668,0.30235973,-0.24924415,-0.16576818,-0.024709918,-0.2700999
