skill,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
adding-and-subtracting-in-scientific-notation,0.039816212,-0.25118917,-0.15378202,0.04876547,0.024812754,-0.013410848,0.097525075,0.10921035,0.04727335,0.35072485,0.08695115,0.025614573,-0.2948662,0.14449985,-0.28127357,-0.13450566,0.16135548,0.2143662,-0.09054966,0.15358981,0.039825533,0.24313435,-0.1756394,-0.02881203,0.24329706,0.23918733,-0.16500126,-0.055413138,-0.069961764,-0.03897414,-0.011003811,-0.090317294,-0.046933495,0.0079331,0.24856035,-0.0077044107,0.15087055,-0.033030353,0.07658648,0.11400361,0.061496045,-0.09035642,-0.07033076,-0.017913526,0.20167333,-0.12122215,-0.030750372,0.08484283,0.027112212,-0.05229593
adding-and-subtracting-polynomials-2,0.12874347,0.1176817,0.007591421,-0.1643414,-0.15803903,0.22919396,-0.041439272,0.10191877,-0.046649113,0.23901169,0.11320032,0.14073424,-0.1628505,-0.06713105,-0.04739984,-0.20198002,0.053062055,-0.23808067,-0.07550852,0.29124275,0.16430174,0.20571204,-0.11227575,-0.10653411,-0.06576432,0.051683556,0.11152191,-0.1933313,-0.17170268,-0.15113306,-0.0032840562,0.008596423,-0.010117811,-0.136371,-0.06859914,-0.08438112,-0.038974363,-0.19768366,-0.11755759,-0.12010233,0.02490628,-0.008645985,-0.09785938,0.03323366,0.3552562,0.1733111,-0.084718905,-0.05162698,0.16567479,-0.17355427
adding_and_subtracting_fractions,0.23134527,-0.03118244,-0.26324946,0.03226325,-0.08535636,-0.11563508,0.19186229,0.13105017,0.06768563,0.060462162,0.15334634,0.02892253,-0.105574064,0.077130444,-0.051180527,-0.14621177,0.19722399,-0.07780147,-0.17039073,0.084930904,0.104479566,-0.07521063,-0.068766214,-0.006448114,0.124715194,0.31668305,-0.22959669,0.053879466,0.03940619,-0.11360539,0.27118492,-0.20503558,0.11338527,-0.14888942,0.10742957,0.17526954,-0.01704082,-0.0071817767,0.079072565,0.13862465,-0.17668563,-0.024827912,-0.120575994,-0.031079829,0.18463752,0.11393881,0.20119023,-0.19571064,0.13267586,-0.17003587
adding_and_subtracting_polynomials,0.16281289,0.09630672,0.057248145,-0.05366299,-0.2894581,0.12934805,0.043450903,0.120736286,-0.021339731,0.17421736,0.11645665,0.17109641,-0.08712869,-0.025675826,0.07612083,-0.10389486,0.1575692,-0.21727057,-0.061039954,0.18292104,0.11487864,0.20738071,-0.059010923,-0.10977796,-0.24476814,0.1584985,0.119274974,-0.005450085,-0.057895444,-0.057598595,0.17161049,0.056433473,-0.113692276,-0.18026583,-0.18723258,0.12076878,0.013345119,-0.032008108,-0.0755208,-0.021285696,-0.06040536,0.09489147,-0.119845435,-0.10554825,0.3473007,0.06916046,-0.13504843,-0.25367752,0.112474345,-0.24864298
adding_and_subtracting_rational_numbers,-0.03605768,-0.016474187,-0.13585049,0.013492761,-0.031208292,0.07285292,0.023716923,0.08770925,0.05747863,0.3995836,0.12990618,-0.022011273,-0.09765333,-0.010825838,-0.18995607,-0.15410158,0.04212843,0.2739196,-0.036711823,0.14169182,0.12988111,-0.12707475,-0.036473714,-0.024873044,0.03004028,0.19778882,-0.2515474,-0.1371776,-0.06099051,-0.21451528,-0.14502822,-0.03630583,0.2627042,0.022301586,0.037701763,0.08785116,0.1534649,-0.11215631,-0.047895826,-0.029557314,-0.28268933,-0.13020945,0.0555184,-0.119042486,0.14604582,-0.1748632,0.09162065,0.1565144,0.22624573,-0.14136235
age_word_problems,0.057121355,0.00747515,0.08572814,0.08655136,0.20487961,0.040693764,0.15552963,0.19024086,0.1012679,-0.08440567,-0.013619244,0.31378245,0.028947456,0.1496582,-0.22456005,-0.08975563,-0.1273709,-0.11574873,-0.010358525,-0.13317068,-0.12382388,0.03633252,-0.16890517,0.1853152,0.18935461,0.3712081,0.10398992,-0.10913516,0.23642805,-0.11009102,-0.03980748,0.24005009,0.12028698,-0.074385405,0.1627781,-0.047802415,-0.052251436,-0.012677397,0.1325883,0.08421487,0.071531855,0.14148167,-0.007111735,-0.08440401,-0.12328241,-0.078936525,0.11403461,-0.25826097,0.1028705,-0.095537685
angle_addition_postulate,-0.037814572,0.092986465,-0.033746056,-0.2540662,-0.13298798,0.17523381,-0.07417729,-0.0846562,-0.077440545,-0.13417336,-0.109438404,0.17882647,0.05424427,-0.1128921,0.12696952,-0.062447842,0.20453604,-0.106235795,0.037408225,-0.18534912,0.08119297,-0.057059865,0.08716835,-0.045814592,-0.19145554,-0.06018338,0.12167007,0.049734686,-0.22703776,0.021123923,-0.13853833,-0.2885013,0.2020629,0.045586944,0.08266229,0.16833726,-0.21719542,-0.10500062,0.2662789,0.17758021,-0.06693456,-0.056717757,0.059000693,0.014436222,0.2804949,0.002630727,-0.2609477,-0.07657923,-0.19058107,0.007149588
angles_1,0.06937037,-0.1476815,0.11552287,-0.23396456,-0.019715978,0.15971512,0.019944198,-0.1584564,0.009597766,-0.11179996,-0.22121239,-0.07669747,0.076607674,-0.23594683,-0.14145544,-0.22843015,0.11833226,-0.08908415,0.10562476,-0.15884829,-0.0016882678,-0.08424777,-0.23338163,-0.04688196,0.046100657,-0.051749248,-0.08481594,0.13653064,-0.11454351,0.08932555,0.16737773,-0.26538402,-0.0933195,0.18861598,0.1401546,0.14166833,-0.17488807,-0.05341038,0.04433446,0.29138997,0.13411535,0.071882166,0.124418296,0.045687225,0.14622308,-0.11466826,0.049635645,0.15917456,0.04233011,0.26706448
angles_2,0.058539316,-0.115535736,0.101812415,-0.26636073,-0.003081528,0.04768582,0.087823346,-0.118516624,-0.02969247,-0.1210184,-0.30444375,0.03809237,0.14071037,-0.1690817,-0.08970945,-0.2607531,0.13595665,-0.1262556,0.16249804,-0.21323967,-0.038594753,-0.07264188,-0.23679763,0.01304713,0.027016023,-0.040438604,-0.05547489,0.11998129,-0.09452081,0.018874131,0.13643084,-0.29109168,-0.036566596,0.14511216,0.1518946,0.13451552,-0.17162839,-0.014411432,0.012546985,0.26122227,0.1566679,-0.0106673995,0.12684102,0.02740619,0.15462203,-0.15701868,0.047634766,0.15850961,0.019848207,0.2500394
angles_of_a_polygon,-0.12812634,0.17207927,0.19860193,-0.22268626,-0.031592194,0.052981436,-0.21162806,-0.04690161,-0.2613189,-0.15283576,-0.07114961,-0.07295586,0.0015337305,0.045699507,0.1812053,-0.012752664,0.25828135,-0.036628008,-0.22790028,-0.2817489,-0.3817117,0.005594548,0.089216545,0.12029791,-0.16325948,-0.1010057,-0.014570186,-0.06330712,-0.22901987,0.02975701,0.032351244,-0.058536217,-0.011736675,0.005014843,0.08797302,0.09824953,-0.11812924,-0.005217407,0.09510075,0.06578985,0.22405073,-0.066502504,0.25800776,-0.06120807,-0.16426885,-0.007218031,-0.07140974,-0.05979896,-0.068607494,0.018517619
approximating-with-orders-of-magnitude,0.08165503,-0.007933658,-0.0089956885,0.12332882,-0.03363042,-0.051139224,0.12510791,0.29622653,0.176294,0.22909772,-0.09121391,0.19107945,0.044525634,0.07714176,-0.1783509,0.18855982,-0.041201547,0.011272262,-0.08230845,0.065893084,-0.17624418,-0.0515488,-0.23771341,-0.053029686,0.17055476,0.30753985,0.007343244,-0.057095166,-0.026637502,-0.19013079,0.08463776,0.1459954,-0.048667595,-0.19511156,0.22817825,-0.11278733,0.12034224,0.15060177,0.051098,0.13138503,0.03892977,-0.17650054,-0.16504985,-0.19771637,-0.024711384,0.014781464,0.15447387,-0.22013262,0.1543745,-0.10292314
area-and-circumference-of-parts-of-circles,-0.15895332,0.051730916,-0.16846198,0.099863164,0.13012004,-0.18198982,-0.09480386,-0.11089772,-0.08562989,-0.122085884,-0.0834974,0.056053035,-0.2848682,-0.03923695,0.2693671,0.011834225,-0.14899786,-0.013330842,-0.06398315,0.029993348,0.1326733,-0.26492515,0.121544756,0.103802465,-0.03484193,0.09716552,0.3958074,-0.11596797,-0.26932278,-0.08740248,0.07605931,0.18632671,0.016482627,0.030840047,0.0020955286,-0.03250833,0.00037053897,-0.16021214,0.01933663,-0.13085558,0.08679725,0.18020211,-0.23083007,-0.012322911,0.024825072,-0.024968611,0.092617325,-0.2469832,-0.1320664,-0.07299183
area-of-quadrilaterals-and-polygons,-0.19778082,-0.1267323,0.1225408,0.050257046,0.1486981,-0.006325231,-0.19459909,-0.03542357,0.12092703,-0.16270015,-0.31728446,-0.051719096,0.07065055,0.106906995,0.0035102356,0.023613466,-0.09909856,0.018043835,0.40060657,0.035647795,0.024474632,0.040339015,0.016470246,-0.18967454,0.047393914,-0.27970603,0.15413246,0.120242715,0.021344207,-0.09191788,-0.09732437,0.070037134,-0.08053613,0.08420416,0.20107536,-0.12905784,-0.010672691,0.05135159,0.004873271,-0.013174586,0.20813665,0.14606942,-0.27133492,-0.101710446,0.16072622,-0.12334303,0.039009932,-0.0440721,-0.22574879,0.18577072
