skill,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Absolute Value,0.06804138,0.026002627,0.07403399,-0.16109742,0.17687999,0.01647368,0.27641186,0.069912836,-0.16797532,-0.13146418,0.214034,-0.1231841,0.009135558,-0.05596895,-0.04116821,-0.08316779,-0.25456282,0.15380284,0.031675957,-0.10886619,0.019866832,-0.15267225,-0.081581034,-0.03702181,-0.18113126,0.10210612,-0.40086865,0.08334101,-0.19792177,-0.25350082,-0.14024454,0.007571568,0.31990513,-0.03260725,-0.003290019,-0.18081468,-0.02746522,-0.10124579,-0.033665247,-0.08565227,0.053788472,-0.059827186,0.16617692,-0.0863031,0.08484999,-0.088173136,-0.009115593,0.15302546,0.10697171,-0.13411449
Addition Whole Numbers,-0.19547954,0.06651107,0.06637926,-0.26354787,-0.07134216,0.16028221,-0.21807101,0.13951021,0.078709476,0.06065254,0.2414334,-0.13031052,-0.10881272,0.027376257,-0.22922292,-0.24083792,-0.0702449,0.12448295,0.009676896,-0.12236822,-0.22827445,0.076284215,-0.03270588,0.019794839,0.18214709,-0.05377733,-0.12533246,-0.19876565,-0.034127276,-0.053809293,-0.31571558,0.10243892,0.10455701,0.09521078,-0.06027479,0.023209859,-0.05135709,0.043179948,0.085205466,-0.01581828,0.11384544,0.067545615,0.25382885,-0.056860987,-0.26246694,-0.22073454,0.015706472,-0.15992971,0.0785772,-0.077718295
Addition and Subtraction Fractions,0.058349367,0.077120095,-0.0994187,-0.07753929,-0.14158511,0.0008993761,0.1232665,-0.089676134,0.14666213,0.112589076,0.15987627,-0.0352839,0.20393753,-0.0120528275,-0.07204385,-0.27453512,0.072395794,0.009390615,-0.14566778,0.10607881,-0.15564731,-0.15082635,0.02650427,0.046530098,0.32306,0.13817322,-0.27411276,0.13587272,0.17303503,-0.21373224,0.29155332,-0.21404397,0.00016762418,-0.068632536,0.0008181099,0.16640007,0.014348804,-0.07010701,0.08955168,0.21315618,-0.15441264,-0.033348102,-0.20516445,0.124305286,-0.08388587,0.009749809,0.17873022,0.077983074,0.061978724,-0.1206778
Addition and Subtraction Integers,-0.02979698,-0.08356745,0.023113944,-0.093514085,-0.05921153,-0.049935836,0.0070361528,-0.008881569,0.07525873,0.21357687,-0.05423849,-0.040955678,-0.020070644,-0.09497759,-0.15468074,-0.010593689,0.16962811,0.029989598,-0.09607902,-0.10957262,0.09113779,-0.2842128,0.03160677,-0.04379423,-0.07876772,0.091242634,-0.39865544,-0.11613978,-0.16772613,-0.15725857,0.013998242,-0.08406531,0.28757808,0.05976366,-0.11620598,0.05925528,0.012177864,-0.097779475,-0.08017983,-0.08759742,-0.18410198,0.01149106,0.02039114,-0.3288545,0.0052775703,-0.30688775,-0.020405075,0.15528452,0.28397867,-0.16826859
Addition and Subtraction Positive Decimals,-0.040261112,-0.10457992,-0.14038666,0.058214735,-0.023581767,0.14432172,-0.00044597077,0.079859465,-0.06665942,0.3582549,0.21355109,-0.06702393,-0.15754262,0.13797489,-0.23056865,-0.18837067,-0.038403388,0.37966156,-0.009369339,0.20990202,0.09112267,-0.02420747,0.012171586,0.04033343,0.17787743,0.25679666,-0.016039208,-0.09345838,0.11506435,-0.05890096,-0.18667758,-0.06731217,0.12663247,-0.0007689445,0.13056348,-0.022805395,0.23574364,-0.0595896,0.001110564,0.103996746,-0.2393935,-0.11899403,-0.04774387,-0.014371384,0.12372183,-0.15653601,0.16949145,0.10914107,0.00081630476,-0.012196367
Algebraic Solving,-0.05117043,0.362291,-0.13067555,0.2467735,0.027523346,0.029886026,0.09258828,-0.024115063,0.022386244,-0.09927524,-0.05754291,0.13170077,0.023122676,-0.06433667,0.00486976,-0.13895212,-0.039729215,-0.043870207,0.29321057,0.011463009,0.32529134,0.14087331,-0.0035231921,-0.1546103,-0.0019620918,0.120654956,0.008549498,-0.14123654,0.26341125,0.11791109,0.14246912,-0.020025728,0.09880033,-0.04106489,-0.21028714,0.13556017,-0.13101268,-0.058068577,-0.027183076,-0.12574236,-0.09206994,0.26758733,-0.0153851295,0.30286655,-0.13062781,-0.04119863,-0.055614818,-0.1364681,0.14292352,0.022294745
"Angles - Obtuse, Acute, and Right",0.044699576,-0.041230172,-0.02636054,0.011366006,0.012596714,-0.18544437,-0.3264083,0.035048995,0.05321865,-0.070432626,0.0016390445,0.20317651,0.08586236,-0.11834983,0.035711464,0.049491674,0.07474272,-0.061301097,-0.03856083,-0.037431248,-0.20421235,0.06863577,0.25587296,0.16885205,-0.0878751,-0.13084878,0.21396558,0.09571915,0.020150242,0.16544607,-0.0011817762,-0.34303617,0.0034604503,0.11168441,0.21997644,0.05914162,0.14694738,0.13779294,-0.30350003,0.23395976,0.0544852,-0.16024463,0.05919618,0.12737338,-0.015399292,-0.01050466,0.0040214825,0.18046097,-0.25574005,-0.050986238
Angles on Parallel Lines Cut by a Transversal,0.090165496,0.3948119,0.064768285,-0.18569838,0.021363588,0.0021706778,-0.057970148,-0.16180971,-0.13341273,-0.19973487,-0.045091312,0.17264491,0.0034805508,0.13739231,0.15221027,0.09065564,0.12598832,-0.079376474,0.31242436,-0.17070225,0.09255486,-0.16741166,0.26734263,0.021982076,-0.045954194,-0.20194347,0.18698332,-0.04455985,-0.15121868,-0.010387981,0.029140284,-0.17237848,0.14253032,-0.15704654,-0.0046533337,0.031885896,-0.23360226,-0.11979085,0.11897224,0.03602423,0.12961571,-0.16443387,0.05160186,0.03370886,-0.01579252,0.026082799,-0.070356235,-0.21898618,-0.059229333,0.035830043
Area Circle,-0.18902847,-0.11967611,0.062478576,0.020986192,0.12762114,0.038189482,-0.1299688,-0.23396257,0.054478444,-0.038236078,-0.3033635,-0.107756436,0.0017572645,0.12863255,0.032599475,0.1034233,0.1330277,-0.07360916,0.32199398,-0.1410997,-0.02754705,-0.115241334,0.21142997,-0.36506724,0.13793544,-0.033811133,-0.054711793,0.14111556,-0.06958104,-0.14547108,0.090660386,-0.1525304,0.028225325,0.12762037,-0.06412986,0.009592868,0.26286522,0.029042378,0.1247815,0.049148157,0.20400368,0.059961565,-0.12387247,-0.03987387,0.18028246,0.095551595,0.06692879,0.049174573,-0.23997825,-0.055497058
Area Irregular Figure,-0.25102815,-0.052314147,0.17775027,-0.052747305,0.17267247,0.027832096,-0.09982102,-0.19452828,0.12243666,-0.09570207,-0.18921693,0.047373977,0.1154114,0.122132055,0.064799994,-0.1083435,0.217027,0.03829721,0.2855203,-0.023843192,-0.051531658,-0.21979114,0.02483064,-0.09326231,0.032560874,-0.1352781,0.28612533,0.005120978,-0.0993787,-0.06895602,0.06455661,-0.041433904,-0.033212196,0.036240615,0.21668912,-0.39257172,0.0059701256,0.020946763,0.029234262,0.002919934,0.17998403,0.046344828,-0.14731783,-0.07255159,0.1830017,-0.19386786,-0.13798428,-0.07443831,-0.068876766,0.18886714
